Fields	Description
company_name	Name of the company advertising the job
job_description	Job title
job_salary	Salary range of the job
job_type	Employment Type - Full Time or Contractual
job_classification	Job category based on the work involved and the skills needed to perform it
company_review	Review of the company by people who worked within
company_benefits	Benefits offered by the company during terms of employment
company_size	Size of the company
company_industry	Industry that the company belongs to
job_location	The location on where the job is performed
